BEN_CLASS,IR_MLID,IR_MLNAME,IR_Lat,IR_Long,ASSESS_ID,AU_NAME,R3172ParameterName,BeneficialUse,AssessCat
"1C,2A,3A,4",UC_REGION_USBOR_WQX-PV-South,Pineview South Arm,41.257508,-111.792278,UT-L-16020102-014_00,Pineview Reservoir,pH,2A,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-PV-South,Pineview South Arm,41.257508,-111.792278,UT-L-16020102-014_00,Pineview Reservoir,pH,3A,NA
"1C,2A,3A,4",UC_REGION_USBOR_WQX-PV-South,Pineview South Arm,41.257508,-111.792278,UT-L-16020102-014_00,Pineview Reservoir,pH,4,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-RR-Dam,Rockport at Dam,40.787462,-111.404083,UT-L-16020101-002_00,Rockport Reservoir,pH,1C,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-RR-Dam,Rockport at Dam,40.787462,-111.404083,UT-L-16020101-002_00,Rockport Reservoir,pH,2A,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-RR-Dam,Rockport at Dam,40.787462,-111.404083,UT-L-16020101-002_00,Rockport Reservoir,pH,3A,NA
"1C,2A,3A,4",UC_REGION_USBOR_WQX-RR-Dam,Rockport at Dam,40.787462,-111.404083,UT-L-16020101-002_00,Rockport Reservoir,pH,4,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-RR-INF,Rockport Inflow,40.7607,-111.381,UT-L-16020101-002_00,Rockport Reservoir,pH,1C,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-RR-INF,Rockport Inflow,40.7607,-111.381,UT-L-16020101-002_00,Rockport Reservoir,pH,2A,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-RR-INF,Rockport Inflow,40.7607,-111.381,UT-L-16020101-002_00,Rockport Reservoir,pH,3A,NA
"1C,2A,3A,4",UC_REGION_USBOR_WQX-RR-INF,Rockport Inflow,40.7607,-111.381,UT-L-16020101-002_00,Rockport Reservoir,pH,4,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-RR-Mid,Rockport Mid,40.774233,-111.396492,UT-L-16020101-002_00,Rockport Reservoir,pH,1C,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-RR-Mid,Rockport Mid,40.774233,-111.396492,UT-L-16020101-002_00,Rockport Reservoir,pH,2A,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-RR-Mid,Rockport Mid,40.774233,-111.396492,UT-L-16020101-002_00,Rockport Reservoir,pH,3A,NA
"1C,2A,3A,4",UC_REGION_USBOR_WQX-RR-Mid,Rockport Mid,40.774233,-111.396492,UT-L-16020101-002_00,Rockport Reservoir,pH,4,FS
"1C,2A,3A,4",UTAHDWQ_WQX-4923810,PINEVIEW RES AB DAM 01,41.25522309,-111.8399354,UT-L-16020102-014_00,Pineview Reservoir,Aluminum,1C,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923810,PINEVIEW RES AB DAM 01,41.25522309,-111.8399354,UT-L-16020102-014_00,Pineview Reservoir,Aluminum,2A,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923810,PINEVIEW RES AB DAM 01,41.25522309,-111.8399354,UT-L-16020102-014_00,Pineview Reservoir,Aluminum,3A,idNE
"1C,2A,3A,4",UTAHDWQ_WQX-4923810,PINEVIEW RES AB DAM 01,41.25522309,-111.8399354,UT-L-16020102-014_00,Pineview Reservoir,Aluminum,4,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923810,PINEVIEW RES AB DAM 01,41.25522309,-111.8399354,UT-L-16020102-014_00,Pineview Reservoir,Ammonia,1C,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923810,PINEVIEW RES AB DAM 01,41.25522309,-111.8399354,UT-L-16020102-014_00,Pineview Reservoir,Ammonia,2A,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923810,PINEVIEW RES AB DAM 01,41.25522309,-111.8399354,UT-L-16020102-014_00,Pineview Reservoir,Ammonia,3A,idNE
"1C,2A,3A,4",UTAHDWQ_WQX-4923810,PINEVIEW RES AB DAM 01,41.25522309,-111.8399354,UT-L-16020102-014_00,Pineview Reservoir,Ammonia,4,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923810,PINEVIEW RES AB DAM 01,41.25522309,-111.8399354,UT-L-16020102-014_00,Pineview Reservoir,Arsenic,1C,idNE
"1C,2A,3A,4",UTAHDWQ_WQX-4923810,PINEVIEW RES AB DAM 01,41.25522309,-111.8399354,UT-L-16020102-014_00,Pineview Reservoir,Arsenic,2A,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923810,PINEVIEW RES AB DAM 01,41.25522309,-111.8399354,UT-L-16020102-014_00,Pineview Reservoir,Arsenic,3A,idNE
"1C,2A,3A,4",UTAHDWQ_WQX-4923810,PINEVIEW RES AB DAM 01,41.25522309,-111.8399354,UT-L-16020102-014_00,Pineview Reservoir,Arsenic,4,idNE
"1C,2A,3A,4",UTAHDWQ_WQX-4923810,PINEVIEW RES AB DAM 01,41.25522309,-111.8399354,UT-L-16020102-014_00,Pineview Reservoir,DO-temperature habitat profile width,1C,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923810,PINEVIEW RES AB DAM 01,41.25522309,-111.8399354,UT-L-16020102-014_00,Pineview Reservoir,DO-temperature habitat profile width,2A,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923810,PINEVIEW RES AB DAM 01,41.25522309,-111.8399354,UT-L-16020102-014_00,Pineview Reservoir,DO-temperature habitat profile width,3A,FS
"1C,2A,3A,4",UTAHDWQ_WQX-4923810,PINEVIEW RES AB DAM 01,41.25522309,-111.8399354,UT-L-16020102-014_00,Pineview Reservoir,DO-temperature habitat profile width,4,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923810,PINEVIEW RES AB DAM 01,41.25522309,-111.8399354,UT-L-16020102-014_00,Pineview Reservoir,pH,1C,idNE
"1C,2A,3A,4",UTAHDWQ_WQX-4923810,PINEVIEW RES AB DAM 01,41.25522309,-111.8399354,UT-L-16020102-014_00,Pineview Reservoir,pH,2A,idNE
"1C,2A,3A,4",UTAHDWQ_WQX-4923810,PINEVIEW RES AB DAM 01,41.25522309,-111.8399354,UT-L-16020102-014_00,Pineview Reservoir,pH,3A,FS
"1C,2A,3A,4",UTAHDWQ_WQX-4923810,PINEVIEW RES AB DAM 01,41.25522309,-111.8399354,UT-L-16020102-014_00,Pineview Reservoir,pH,4,idNE
"1C,2A,3A,4",UTAHDWQ_WQX-4923810,PINEVIEW RES AB DAM 01,41.25522309,-111.8399354,UT-L-16020102-014_00,Pineview Reservoir,Total Dissolved Solids,1C,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923810,PINEVIEW RES AB DAM 01,41.25522309,-111.8399354,UT-L-16020102-014_00,Pineview Reservoir,Total Dissolved Solids,2A,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923810,PINEVIEW RES AB DAM 01,41.25522309,-111.8399354,UT-L-16020102-014_00,Pineview Reservoir,Total Dissolved Solids,3A,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923810,PINEVIEW RES AB DAM 01,41.25522309,-111.8399354,UT-L-16020102-014_00,Pineview Reservoir,Total Dissolved Solids,4,idNE
"1C,2A,3A,4",UTAHDWQ_WQX-4923820,PINEVIEW RES S ARM 02,41.25772376,-111.7960518,UT-L-16020102-014_00,Pineview Reservoir,Ammonia,1C,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923820,PINEVIEW RES S ARM 02,41.25772376,-111.7960518,UT-L-16020102-014_00,Pineview Reservoir,Ammonia,2A,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923820,PINEVIEW RES S ARM 02,41.25772376,-111.7960518,UT-L-16020102-014_00,Pineview Reservoir,Ammonia,3A,idNE
"1C,2A,3A,4",UTAHDWQ_WQX-4923820,PINEVIEW RES S ARM 02,41.25772376,-111.7960518,UT-L-16020102-014_00,Pineview Reservoir,Ammonia,4,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923820,PINEVIEW RES S ARM 02,41.25772376,-111.7960518,UT-L-16020102-014_00,Pineview Reservoir,DO-temperature habitat profile width,1C,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923820,PINEVIEW RES S ARM 02,41.25772376,-111.7960518,UT-L-16020102-014_00,Pineview Reservoir,DO-temperature habitat profile width,2A,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923820,PINEVIEW RES S ARM 02,41.25772376,-111.7960518,UT-L-16020102-014_00,Pineview Reservoir,DO-temperature habitat profile width,3A,FS
"1C,2A,3A,4",UTAHDWQ_WQX-4923820,PINEVIEW RES S ARM 02,41.25772376,-111.7960518,UT-L-16020102-014_00,Pineview Reservoir,DO-temperature habitat profile width,4,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923820,PINEVIEW RES S ARM 02,41.25772376,-111.7960518,UT-L-16020102-014_00,Pineview Reservoir,pH,1C,idNE
"1C,2A,3A,4",UTAHDWQ_WQX-4923820,PINEVIEW RES S ARM 02,41.25772376,-111.7960518,UT-L-16020102-014_00,Pineview Reservoir,pH,2A,idNE
"1C,2A,3A,4",UTAHDWQ_WQX-4923820,PINEVIEW RES S ARM 02,41.25772376,-111.7960518,UT-L-16020102-014_00,Pineview Reservoir,pH,3A,FS
"1C,2A,3A,4",UTAHDWQ_WQX-4923820,PINEVIEW RES S ARM 02,41.25772376,-111.7960518,UT-L-16020102-014_00,Pineview Reservoir,pH,4,idNE
"1C,2A,3A,4",UTAHDWQ_WQX-4923820,PINEVIEW RES S ARM 02,41.25772376,-111.7960518,UT-L-16020102-014_00,Pineview Reservoir,Total Dissolved Solids,1C,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923820,PINEVIEW RES S ARM 02,41.25772376,-111.7960518,UT-L-16020102-014_00,Pineview Reservoir,Total Dissolved Solids,2A,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923820,PINEVIEW RES S ARM 02,41.25772376,-111.7960518,UT-L-16020102-014_00,Pineview Reservoir,Total Dissolved Solids,3A,NA
